nome,avaliacao,endereco,telefone,tipo,horario
Resultados,5.0,"
R. Alcindo Guanabara, 09 - Jardim da Gloria, São Paulo - SP, 01546-020","R. Alcindo Guanabara, 09 - Jardim da Gloria, São Paulo - SP, 01546-020",Barbearia,N/A
Resultados,5.0,"
R. Alcindo Guanabara, 09 - Jardim da Gloria, São Paulo - SP, 01546-020","R. Alcindo Guanabara, 09 - Jardim da Gloria, São Paulo - SP, 01546-020",Barbearia,N/A
Resultados,5.0,"
R. Alcindo Guanabara, 09 - Jardim da Gloria, São Paulo - SP, 01546-020","R. Alcindo Guanabara, 09 - Jardim da Gloria, São Paulo - SP, 01546-020",Barbearia,N/A
Resultados,5.0,"
R. Capote Valente, 258 - Pinheiros, São Paulo - SP, 05402-000","R. Capote Valente, 258 - Pinheiros, São Paulo - SP, 05402-000",Barbearia,N/A
Resultados,5.0,"
R. Capote Valente, 258 - Pinheiros, São Paulo - SP, 05402-000","R. Capote Valente, 258 - Pinheiros, São Paulo - SP, 05402-000",Barbearia,N/A
Resultados,5.0,"
R. Capote Valente, 258 - Pinheiros, São Paulo - SP, 05402-000","R. Capote Valente, 258 - Pinheiros, São Paulo - SP, 05402-000",Barbearia,N/A
Resultados,5.0,"
R. Amarante, 74 - loja 03 - Cambuci, São Paulo - SP, 01543-040","R. Amarante, 74 - loja 03 - Cambuci, São Paulo - SP, 01543-040",Cabeleireiro,N/A
Resultados,5.0,"
R. Amarante, 74 - loja 03 - Cambuci, São Paulo - SP, 01543-040","R. Amarante, 74 - loja 03 - Cambuci, São Paulo - SP, 01543-040",Cabeleireiro,N/A
Resultados,5.0,"
R. Amarante, 74 - loja 03 - Cambuci, São Paulo - SP, 01543-040","R. Amarante, 74 - loja 03 - Cambuci, São Paulo - SP, 01543-040",Cabeleireiro,N/A
Resultados,5.0,"
Rua Inglês de Sousa, 17 - Jardim da Gloria, São Paulo - SP, 01546-010","Rua Inglês de Sousa, 17 - Jardim da Gloria, São Paulo - SP, 01546-010",Cabeleireiro,N/A
